algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,RANGE_ROC_AUC,RANGE_PR_VOLUME
COF,CalIt2,CalIt2-traffic,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,MULTIVARIATE,,,,6.608913898468018,,Status.OK,,1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,0.8385234443725874,0.8485374754898614,0.36330863781166906
COF,Metro,metro-traffic-volume,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/Metro/metro-traffic-volume/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,Dodgers,101-freeway-traffic,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/Dodgers/101-freeway-traffic/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,01_Lev_fault_Temp_corr_seed_11_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/01_Lev_fault_Temp_corr_seed_11_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,02_Lev_fault_Temp_corr_seed_17_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/02_Lev_fault_Temp_corr_seed_17_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,03_Lev_fault_Temp_corr_seed_19_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/03_Lev_fault_Temp_corr_seed_19_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,04_Lev_fault_Temp_corr_seed_23_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/04_Lev_fault_Temp_corr_seed_23_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,05_Lev_fault_Temp_corr_seed_27_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/05_Lev_fault_Temp_corr_seed_27_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,06_Lev_fault_Temp_corr_seed_29_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/06_Lev_fault_Temp_corr_seed_29_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,07_Lev_fault_Temp_corr_seed_31_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/07_Lev_fault_Temp_corr_seed_31_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,08_Lev_fault_Temp_corr_seed_33_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/08_Lev_fault_Temp_corr_seed_33_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,09_Lev_fault_Temp_corr_seed_37_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/09_Lev_fault_Temp_corr_seed_37_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,10_Lev_fault_Temp_corr_seed_39_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/10_Lev_fault_Temp_corr_seed_39_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,11_Lev_fault_Temp_corr_seed_41_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/11_Lev_fault_Temp_corr_seed_41_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,12_Lev_fault_Temp_corr_seed_43_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/12_Lev_fault_Temp_corr_seed_43_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
COF,GHL,13_Lev_fault_Temp_corr_seed_666_vars_23,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/MVA_MLTS/mlts_timeeval_project/results/2024_01_08_23_54_58/COF/507aaea1141c95e8718e71d965e42aa9/GHL/13_Lev_fault_Temp_corr_seed_666_vars_23/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
